pp,wk,ve,tot
22,4,32,117.25125232710263
22,4,33,117.27408944957072
22,4,34,117.29692657203883
22,4,35,117.31976369450693
22,4,36,117.34260081697502
22,4,37,117.36543793944313
22,4,38,117.38827506191123
22,4,39,117.41111218437933
22,4,40,117.43394930684744
22,4,41,117.45678642931553
22,4,42,117.47962355178363
22,4,43,117.50246067425174
22,4,44,117.52529779671983
22,5,0,114.51520865265307
22,5,1,114.53804577512116
22,5,2,114.56088289758927
22,5,3,114.58372002005737
22,5,4,114.60655714252547
22,5,5,114.62939426499358
22,5,6,114.65223138746167
22,5,7,114.67506850992977
22,5,8,114.69790563239788
22,5,9,114.72074275486597
22,5,10,114.74357987733407
22,5,11,114.76641699980217
22,5,12,114.78925412227028
22,5,13,114.81209124473837
22,5,14,114.83492836720647
22,5,15,114.85776548967458
22,5,16,114.88060261214267
22,5,17,114.90343973461077
22,5,18,114.92627685707888
22,5,19,114.94911397954698
22,5,20,114.97195110201508
22,5,21,114.99478822448317
22,5,22,115.01762534695128
22,5,23,115.04046246941938
22,5,24,115.06329959188747
22,5,25,115.08613671435558
22,5,26,115.10897383682368
22,5,27,115.13181095929178
22,5,28,115.15464808175989
22,5,29,115.17748520422798
22,5,30,115.20032232669608
22,5,31,115.22315944916417
22,5,32,115.24599657163228
22,5,33,115.26883369410038
22,5,34,115.29167081656848
22,5,35,115.31450793903659
22,5,36,115.33734506150468
22,5,37,115.36018218397278
22,5,38,115.38301930644089
22,5,39,115.40585642890898
22,5,40,115.42869355137708
22,5,41,115.45153067384518
22,5,42,115.47436779631329
22,5,43,115.49720491878139
22,5,44,115.52004204124948
23,0,0,125.97746565074921
23,0,1,126.0003027732173
23,0,2,126.0231398956854
23,0,3,126.04597701815351
23,0,4,126.06881414062161
23,0,5,126.09165126308972
23,0,6,126.11448838555782
23,0,7,126.13732550802591
23,0,8,126.16016263049401
23,0,9,126.1829997529621
23,0,10,126.20583687543021
23,0,11,126.22867399789831
23,0,12,126.25151112036642
23,0,13,126.27434824283452
23,0,14,126.29718536530262
23,0,15,126.32002248777071
23,0,16,126.34285961023882
23,0,17,126.36569673270691
23,0,18,126.38853385517501
23,0,19,126.41137097764312
23,0,20,126.43420810011122
23,0,21,126.45704522257932
23,0,22,126.47988234504741
23,0,23,126.50271946751552
23,0,24,126.52555658998361
23,0,25,126.54839371245171
23,0,26,126.57123083491982
23,0,27,126.59406795738792
23,0,28,126.61690507985602
23,0,29,126.63974220232413
23,0,30,126.66257932479222
23,0,31,126.68541644726032
23,0,32,126.70825356972841
23,0,33,126.73109069219652
23,0,34,126.75392781466462
23,0,35,126.77676493713273
23,0,36,126.79960205960083
23,0,37,126.82243918206893
23,0,38,126.84527630453702
23,0,39,126.86811342700511
23,0,40,126.89095054947322
23,0,41,126.91378767194132
23,0,42,126.93662479440943
23,0,43,126.95946191687753
23,0,44,126.98229903934563
23,1,0,123.97220989527887
23,1,1,123.99504701774697
23,1,2,124.01788414021506
23,1,3,124.04072126268316
23,1,4,124.06355838515127
23,1,5,124.08639550761936
23,1,6,124.10923263008746
23,1,7,124.13206975255557
23,1,8,124.15490687502367
